ID Produit;Nom du Vin;Prix Unitaire (€);Stock Actuel
4032;Pierre Jean Villa IGP Collines Rhodaniennes Gamine 2018;14.1;0
4047;Pierre Gaillard Côtes-du-Rhône Blanc Les Gendrines 2018;18.3;36
4049;Pierre Gaillard Saint-Joseph Rouge 2018;19.3;46
4051;Jeanne Gaillard IGP Collines Rhodaniennes Syrah Terre de Mandrin 2018;7.7;41
4056;Clos du Mont-Olivet Côtes-du-Rhône Vieilles Vignes 2018;12.7;0
4057;Mourgues du Grès Costières de Nîmes Galets Dorés 2019;8.7;112
4058;Mourgues du Grès Costières de Nîmes Galets Rouges 2019;8.7;267
4059;Mourgues du Grès Costières de Nîmes Galets Rosés 2019;8.7;36
4060;Mourgues du Grès Costières de Nîmes Terre d'Argence 2017;11.9;73
4062;Mourgues du Grès IGP Pont du Gard Terre d'Argence 2018;11.9;60
4063;Mourgues du Grès Costières de Nîmes Terre de Feu 2017;14.5;10
4064;Oratoire Saint Martin Cairanne Rouge Réserve des Seigneurs 2017;14.4;27
4065;Oratoire Saint Martin Cairanne Rouge Les Douyes 2016;19.5;35
4068;Gilles Robin Crozes-Hermitage Rouge Papillon 2019;16.6;157
4074;Domaine de la Jérôme Côtes du Rhône Village 201;12.7;50
4075;Plateau des Chênes Lirac 2015;14.7;54
4076;Plateau des Chênes Lirac 2016;14.05;53
4083;"Rimauresq Côtes de Provence Blanc Cru Classé ""R"" 2019";17.0;0
4085;Rimauresq Côtes de Provence Rouge Cru Classé 2017;19.0;37
4086;Rimauresq Côtes de Provence Blanc Cru Classé 2019;16.4;31
4087;Rimauresq Côtes de Provence Cru Classé Rosé 2019;14.4;45
4094;Paul Ginglinger Gewurztraminer Wahlenbourg 2017;13.7;24
4095;Paul Ginglinger Muscat Caroline 2018;12.6;19
4097;Paul Ginglinger Pinot Gris Les Prelats 2018;12.8;26
4099;Paul Ginglinger Riesling Drei Exa 2018;12.8;43
4100;Emile Boeckel Gewurztraminer Grand Cru Zotzenberg 2016;15.8;7
4101;Emile Boeckel Pinot Gris Grand Cru Zotzenberg 2016;15.8;37
4102;Emile Boeckel Sylvaner Grand Cru Zotzenberg 2017;16.3;16
4103;Emile Boeckel Riesling Grand Cru Wiebelsberg 2016;16.3;6
4104;Emile Boeckel Riesling Brandluft 2018;9.7;37
4105;Emile Boeckel Sylvaner Vieilles Vignes 2019;6.8;42
4106;Emile Boeckel Pinot Noir Barriques Oberpfoeller 2018;12.6;26
4151;Elian Daros Côtes du Marmandais Abouriou 2016;13.7;0
