ID Produit;Nom du Vin;Prix Unitaire (€);Stock Actuel
3847;Pierre Jean Villa Saint-Joseph Préface 2018;24.2;0
3849;Pierre Jean Villa Saint-Joseph Rouge Tildé 2017;34.3;0
3850;Pierre Jean Villa Crozes-Hermitage Accroche Coeur 2018;20.8;0
4039;Pierre Jean Villa Côte Rôtie Carmina 2017;46.0;0
4040;Pierre Jean Villa Saint-Joseph Saut De l'Ange 2018;34.3;0
4041;Pierre Gaillard Condrieu 2018;32.7;15
4042;Pierre Gaillard Cornas 2017;31.2;34
4043;Pierre Gaillard Côte Rôtie Esprit de Blonde 2017;60.0;12
4045;Pierre Gaillard Côte Rôtie 2018;42.6;66
4046;Pierre Gaillard Côte Rôtie Rose Pourpre 2017;80.0;0
4048;Pierre Gaillard Saint-Joseph Rouge Clos de Cuminaille 2018;22.8;22
4050;Pierre Gaillard Saint-Joseph Blanc 2019;21.8;0
4052;Clos du Mont-Olivet Châteauneuf-du-Pape Blanc 2019;33.7;35
4053;Clos du Mont-Olivet Châteauneuf-du-Pape 2012;44.3;16
4054;Clos du Mont-Olivet Châteauneuf-du-Pape Cuvée du Papet 2018;71.6;0
4066;Oratoire Saint Martin Cairanne Rouge Haut Coustias 2016;20.8;65
4067;Gilles Robin Crozes-Hermitage Rouge Albéric 2017;22.0;31
4069;Gilles Robin Hermitage Rouge 2012;60.0;0
4070;Gilles Robin Crozes-Hermitage Blanc Les Marelles 2018;23.4;98
4071;Château de Vaudieu Châteauneuf-du-Pape Rouge 2015;33.2;16
4072;Château de Vaudieu Châteauneuf-du-Pape Blanc 2015;32.0;28
4073;Château de Vaudieu Châteauneuf-du-Pape L'Avenue 2015;77.8;11
4077;Domaine des Bosquets Gigondas 2016;22.9;48
4078;Domaine des Bosquets Gigondas La Colline 2015;44.0;14
4079;Le Vieux Donjon Châteauneuf-du-Pape 2013;37.0;0
4081;Le Vieux Donjon Châteauneuf-du-Pape 2016;39.0;0
4084;"Rimauresq Côtes de Provence Rouge Cru Classé ""R"" 2017";23.2;14
4096;Paul Ginglinger Pinot Gris Grand Cru Eichberg 2015;22.8;12
4098;Paul Ginglinger Pinot Noir Les Rocailles 2016;22.1;22
4107;Emile Boeckel Pinot Noir Terres Rouges 2016;35.0;35
